id,image_name,sample_group,pixel_north_east_x,pixel_north_east_y,pixel_south_west_x,pixel_south_west_y
273,3_20161010_0236,positive,15742,3691,15672,3770
274,3_20161010_0236,positive,15639,3535,15569,3614
275,3_20161010_0236,positive,15711,3511,15641,3590
276,3_20161010_0236,positive,15472,3375,15402,3454
277,3_20161010_0236,positive,15210,3336,15140,3415
278,3_20161010_0236,positive,15075,3513,15005,3592
279,3_20161010_0236,positive,15156,3531,15086,3610
280,3_20161010_0236,positive,15452,3305,15382,3384
281,3_20161010_0236,positive,15178,3245,15108,3324
282,3_20161010_0236,positive,15337,3281,15267,3360
283,3_20161010_0236,positive,15672,3256,15602,3335
284,3_20161010_0236,positive,15678,3361,15608,3440
285,3_20161010_0236,positive,15047,3295,14977,3374
286,3_20161010_0236,positive,14643,3374,14573,3453
287,3_20161010_0236,positive,14493,3294,14423,3373
288,3_20161010_0236,positive,14539,3277,14469,3356
289,3_20161010_0236,positive,14339,3256,14269,3335
290,3_20161010_0236,positive,13788,3694,13718,3773
291,3_20161010_0236,positive,13791,4060,13721,4139
292,3_20161010_0236,positive,13789,3954,13719,4033
293,3_20161010_0236,positive,14149,4169,14079,4248
294,3_20161010_0236,positive,13310,4366,13240,4445
295,3_20161010_0236,positive,13362,4527,13292,4606
296,3_20161010_0236,positive,12996,4209,12926,4288
297,3_20161010_0236,positive,12967,3921,12897,4000
298,3_20161010_0236,positive,12450,4047,12380,4126
299,3_20161010_0236,positive,12640,3751,12570,3830
300,3_20161010_0236,positive,12809,3801,12739,3880
301,3_20161010_0236,positive,12960,3756,12890,3835
302,3_20161010_0236,positive,13125,3780,13055,3859
303,3_20161010_0236,positive,13081,3908,13011,3987
304,3_20161010_0236,positive,13067,3984,12997,4063
305,3_20161010_0236,positive,12274,3975,12204,4054
306,3_20161010_0236,positive,12157,3860,12087,3939
307,3_20161010_0236,positive,12336,3779,12266,3858
308,3_20161010_0236,positive,12224,3778,12154,3857
309,3_20161010_0236,positive,12202,3708,12132,3787
310,3_20161010_0236,positive,12497,3666,12427,3745
311,3_20161010_0236,positive,12383,3599,12313,3678
312,3_20161010_0236,positive,12091,4249,12021,4328
313,3_20161010_0236,positive,12232,4347,12162,4426
314,3_20161010_0236,positive,12090,4457,12020,4536
315,3_20161010_0236,positive,12011,4403,11941,4482
316,3_20161010_0236,positive,11909,4409,11839,4488
317,3_20161010_0236,positive,11998,4212,11928,4291
318,3_20161010_0236,positive,11557,3849,11487,3928
319,3_20161010_0236,positive,11720,3550,11650,3629
320,3_20161010_0236,positive,11346,3376,11276,3455
321,3_20161010_0236,positive,11527,3383,11457,3462
322,3_20161010_0236,positive,11606,3338,11536,3417
323,3_20161010_0236,positive,11842,3343,11772,3422
324,3_20161010_0236,positive,12340,3459,12270,3538
325,3_20161010_0236,positive,12684,3199,12614,3278
326,3_20161010_0236,positive,12747,3419,12677,3498
327,3_20161010_0236,positive,12533,3291,12463,3370
328,3_20161010_0236,positive,12565,3239,12495,3318
329,3_20161010_0236,positive,12764,3034,12694,3113
330,3_20161010_0236,positive,12875,3011,12805,3090
331,3_20161010_0236,positive,12335,2977,12265,3056
332,3_20161010_0236,positive,12284,2903,12214,2982
333,3_20161010_0236,positive,12318,2847,12248,2926
334,3_20161010_0236,positive,12424,3010,12354,3089
335,3_20161010_0236,positive,12112,3128,12042,3207
336,3_20161010_0236,positive,11924,3152,11854,3231
337,3_20161010_0236,positive,11900,3040,11830,3119
338,3_20161010_0236,positive,11969,2988,11899,3067
339,3_20161010_0236,positive,12025,2856,11955,2935
340,3_20161010_0236,positive,11823,2921,11753,3000
341,3_20161010_0236,positive,11782,2856,11712,2935
342,3_20161010_0236,positive,11618,2847,11548,2926
343,3_20161010_0236,positive,11667,2931,11597,3010
344,3_20161010_0236,positive,11494,3077,11424,3156
345,3_20161010_0236,positive,11249,3043,11179,3122
346,3_20161010_0236,positive,11155,3035,11085,3114
347,3_20161010_0236,positive,11292,3168,11222,3247
348,3_20161010_0236,positive,11346,3131,11276,3210
349,3_20161010_0236,positive,11144,3350,11074,3429
350,3_20161010_0236,positive,10932,3225,10862,3304
351,3_20161010_0236,positive,10839,3441,10769,3520
352,3_20161010_0236,positive,10764,3559,10694,3638
353,3_20161010_0236,positive,10861,3672,10791,3751
354,3_20161010_0236,positive,11254,3873,11184,3952
355,3_20161010_0236,positive,11416,4005,11346,4084
356,3_20161010_0236,positive,11071,4159,11001,4238
357,3_20161010_0236,positive,11235,4161,11165,4240
358,3_20161010_0236,positive,10862,4117,10792,4196
359,3_20161010_0236,positive,10616,3891,10546,3970
360,3_20161010_0236,positive,10512,4035,10442,4114
361,3_20161010_0236,positive,10373,3712,10303,3791
362,3_20161010_0236,positive,10887,3786,10817,3865
363,3_20161010_0236,positive,10740,4008,10670,4087
364,3_20161010_0236,positive,10260,4255,10190,4334
365,3_20161010_0236,positive,10249,4364,10179,4443
366,3_20161010_0236,positive,10800,4192,10730,4271
367,3_20161010_0236,positive,10331,4165,10261,4244
368,3_20161010_0236,positive,10369,4135,10299,4214
369,3_20161010_0236,positive,10447,4146,10377,4225
370,3_20161010_0236,positive,10499,4204,10429,4283
371,3_20161010_0236,positive,10437,4322,10367,4401
372,3_20161010_0236,positive,10482,4345,10412,4424
373,3_20161010_0236,positive,10579,4231,10509,4310
374,3_20161010_0236,positive,10586,4178,10516,4257
375,3_20161010_0236,positive,10807,4345,10737,4424
376,3_20161010_0236,positive,10815,4278,10745,4357
377,3_20161010_0236,positive,10864,4323,10794,4402
378,3_20161010_0236,positive,10933,4516,10863,4595
379,3_20161010_0236,positive,10982,4556,10912,4635
380,3_20161010_0236,positive,10981,4700,10911,4779
381,3_20161010_0236,positive,10880,4731,10810,4810
382,3_20161010_0236,positive,10804,4765,10734,4844
383,3_20161010_0236,positive,10726,4532,10656,4611
384,3_20161010_0236,positive,10655,4631,10585,4710
385,3_20161010_0236,positive,10668,4687,10598,4766
386,3_20161010_0236,positive,10864,4640,10794,4719
387,3_20161010_0236,positive,10819,4609,10749,4688
388,3_20161010_0236,positive,10771,4599,10701,4678
389,3_20161010_0236,positive,10527,4539,10457,4618
390,3_20161010_0236,positive,10431,4634,10361,4713
391,3_20161010_0236,positive,10470,4821,10400,4900
392,3_20161010_0236,positive,10600,4868,10530,4947
393,3_20161010_0236,positive,10515,4793,10445,4872
394,3_20161010_0236,positive,10497,4727,10427,4806
395,3_20161010_0236,positive,10422,4970,10352,5049
396,3_20161010_0236,positive,10469,4999,10399,5078
397,3_20161010_0236,positive,10743,4943,10673,5022
398,3_20161010_0236,positive,10931,4682,10861,4761
399,3_20161010_0236,positive,10961,4830,10891,4909
400,3_20161010_0236,positive,11006,4972,10936,5051
401,3_20161010_0236,positive,10752,4997,10682,5076
402,3_20161010_0236,positive,10882,5053,10812,5132
403,3_20161010_0236,positive,11004,5080,10934,5159
404,3_20161010_0236,positive,10745,5085,10675,5164
405,3_20161010_0236,positive,10821,5164,10751,5243
406,3_20161010_0236,positive,10818,5012,10748,5091
407,3_20161010_0236,positive,10960,5216,10890,5295
408,3_20161010_0236,positive,10683,5160,10613,5239
409,3_20161010_0236,positive,10459,5128,10389,5207
410,3_20161010_0236,positive,10479,5197,10409,5276
411,3_20161010_0236,positive,10534,5213,10464,5292
412,3_20161010_0236,positive,10596,5201,10526,5280
413,3_20161010_0236,positive,10389,5205,10319,5284
414,3_20161010_0236,positive,10384,5256,10314,5335
415,3_20161010_0236,positive,10424,5298,10354,5377
416,3_20161010_0236,positive,10606,5363,10536,5442
417,3_20161010_0236,positive,10676,5357,10606,5436
418,3_20161010_0236,positive,10408,5422,10338,5501
419,3_20161010_0236,positive,10639,5562,10569,5641
420,3_20161010_0236,positive,10475,5628,10405,5707
421,3_20161010_0236,positive,10528,5684,10458,5763
422,3_20161010_0236,positive,10478,5682,10408,5761
423,3_20161010_0236,positive,10216,5426,10146,5505
424,3_20161010_0236,positive,10034,5789,9964,5868
425,3_20161010_0236,positive,9957,5729,9887,5808
426,3_20161010_0236,positive,10217,5822,10147,5901
427,3_20161010_0236,positive,9770,5503,9700,5582
428,3_20161010_0236,positive,9777,5378,9707,5457
429,3_20161010_0236,positive,9573,5483,9503,5562
430,3_20161010_0236,positive,9760,5202,9690,5281
431,3_20161010_0236,positive,9760,5202,9690,5281
432,3_20161010_0236,positive,9774,5294,9704,5373
433,3_20161010_0236,positive,9920,5234,9850,5313
434,3_20161010_0236,positive,10222,5115,10152,5194
435,3_20161010_0236,positive,10185,5095,10115,5174
436,3_20161010_0236,positive,10147,5169,10077,5248
437,3_20161010_0236,positive,9451,5497,9381,5576
438,3_20161010_0236,positive,9389,5295,9319,5374
439,3_20161010_0236,positive,9719,5453,9649,5532
440,3_20161010_0236,positive,9556,5723,9486,5802
441,3_20161010_0236,positive,9276,5674,9206,5753
442,3_20161010_0236,positive,9156,5274,9086,5353
443,3_20161010_0236,positive,9019,5269,8949,5348
444,3_20161010_0236,positive,8919,5347,8849,5426
445,3_20161010_0236,positive,8944,5211,8874,5290
446,3_20161010_0236,positive,9440,5053,9370,5132
447,3_20161010_0236,positive,9407,5100,9337,5179
448,3_20161010_0236,positive,9595,5071,9525,5150
449,3_20161010_0236,positive,9966,4832,9896,4911
450,3_20161010_0236,positive,9780,4724,9710,4803
451,3_20161010_0236,positive,9574,4751,9504,4830
452,3_20161010_0236,positive,9947,4764,9877,4843
453,3_20161010_0236,positive,10034,4724,9964,4803
454,3_20161010_0236,positive,9720,4458,9650,4537
455,3_20161010_0236,positive,9668,4496,9598,4575
456,3_20161010_0236,positive,9416,4550,9346,4629
457,3_20161010_0236,positive,9616,4535,9546,4614
458,3_20161010_0236,positive,9460,4248,9390,4327
459,3_20161010_0236,positive,9086,4323,9016,4402
460,3_20161010_0236,positive,9486,4112,9416,4191
461,3_20161010_0236,positive,9535,4137,9465,4216
462,3_20161010_0236,positive,9596,4130,9526,4209
463,3_20161010_0236,positive,9765,4216,9695,4295
464,3_20161010_0236,positive,9925,4072,9855,4151
465,3_20161010_0236,positive,9956,4274,9886,4353
466,3_20161010_0236,positive,10105,4229,10035,4308
467,3_20161010_0236,positive,9333,3990,9263,4069
468,3_20161010_0236,positive,9386,3945,9316,4024
469,3_20161010_0236,positive,9688,3763,9618,3842
470,3_20161010_0236,positive,9688,3763,9618,3842
471,3_20161010_0236,positive,9250,4770,9180,4849
472,3_20161010_0236,positive,9075,4712,9005,4791
473,3_20161010_0236,positive,8693,4503,8623,4582
474,3_20161010_0236,positive,8534,4545,8464,4624
475,3_20161010_0236,positive,8571,5814,8501,5893
476,3_20161010_0236,positive,8218,5886,8148,5965
477,3_20161010_0236,positive,8216,5993,8146,6072
478,3_20161010_0236,positive,8325,6065,8255,6144
479,3_20161010_0236,positive,8414,5919,8344,5998
480,3_20161010_0236,positive,8433,5871,8363,5950
481,3_20161010_0236,positive,8748,6064,8678,6143
482,3_20161010_0236,positive,8891,5837,8821,5916
483,3_20161010_0236,positive,8941,6049,8871,6128
484,3_20161010_0236,positive,8905,6257,8835,6336
485,3_20161010_0236,positive,9007,6287,8937,6366
486,3_20161010_0236,positive,8553,6327,8483,6406
487,3_20161010_0236,positive,8399,6241,8329,6320
488,3_20161010_0236,positive,8253,6133,8183,6212
489,3_20161010_0236,positive,8093,6129,8023,6208
490,3_20161010_0236,positive,7929,6176,7859,6255
491,3_20161010_0236,positive,8044,6017,7974,6096
492,3_20161010_0236,positive,7870,6420,7800,6499
493,3_20161010_0236,positive,8100,6392,8030,6470
494,3_20161010_0236,positive,8059,6323,7989,6401
495,3_20161010_0236,positive,8319,6543,8249,6621
496,3_20161010_0236,positive,8576,6496,8506,6574
497,3_20161010_0236,positive,8633,6452,8563,6530
498,3_20161010_0236,positive,8554,6670,8484,6748
499,3_20161010_0236,positive,8401,6690,8331,6768
500,3_20161010_0236,positive,8368,6657,8298,6735
501,3_20161010_0236,positive,8336,6712,8266,6790
502,3_20161010_0236,positive,8271,6727,8201,6805
503,3_20161010_0236,positive,7984,6895,7914,6973
504,3_20161010_0236,positive,7672,6639,7602,6717
505,3_20161010_0236,positive,7767,6573,7697,6651
506,3_20161010_0236,positive,9468,5879,9398,5958
507,3_20161010_0236,positive,9701,5949,9631,6028
508,3_20161010_0236,positive,9687,6269,9617,6348
509,3_20161010_0236,positive,8891,6475,8821,6554
510,3_20161010_0236,positive,9600,6584,9530,6663
511,3_20161010_0236,positive,9545,6722,9475,6801
512,3_20161010_0236,positive,9494,6743,9424,6822
513,3_20161010_0236,positive,9732,6722,9662,6801
514,3_20161010_0236,positive,9257,6903,9187,6982
515,3_20161010_0236,positive,8794,7094,8724,7171
516,3_20161010_0236,positive,8702,7157,8632,7234
517,3_20161010_0236,positive,8655,7081,8585,7158
518,3_20161010_0236,positive,8811,7277,8741,7354
519,3_20161010_0236,positive,8754,7238,8684,7315
520,3_20161010_0236,positive,8869,7219,8799,7296
521,3_20161010_0236,positive,8777,7388,8707,7465
522,3_20161010_0236,positive,8619,7495,8549,7572
523,3_20161010_0236,positive,8514,7475,8444,7552
524,3_20161010_0236,positive,9365,7394,9295,7471
525,3_20161010_0236,positive,9110,7434,9040,7511
526,3_20161010_0236,positive,9235,7284,9165,7361
527,3_20161010_0236,positive,9468,7455,9398,7532
528,3_20161010_0236,positive,9409,7706,9339,7783
529,3_20161010_0236,positive,9298,7681,9228,7758
530,3_20161010_0236,positive,9308,7747,9238,7824
531,3_20161010_0236,positive,9242,7645,9172,7722
532,3_20161010_0236,positive,9090,7807,9020,7884
533,3_20161010_0236,positive,9398,7958,9328,8035
534,3_20161010_0236,positive,9336,8088,9266,8165
535,3_20161010_0236,positive,9142,8209,9072,8286
536,3_20161010_0236,positive,8973,7979,8903,8056
537,3_20161010_0236,positive,8896,7910,8826,7987
538,3_20161010_0236,positive,9460,7906,9390,7983
539,3_20161010_0236,positive,8627,7798,8557,7875
540,3_20161010_0236,positive,8316,8166,8246,8243
541,3_20161010_0236,positive,8366,8191,8296,8268
542,3_20161010_0236,positive,8340,8411,8270,8488
543,3_20161010_0236,positive,8439,8436,8369,8513
544,3_20161010_0236,positive,8361,8567,8291,8644
545,3_20161010_0236,positive,8008,8591,7938,8668
546,3_20161010_0236,positive,8620,8718,8550,8795
547,3_20161010_0236,positive,8743,8423,8673,8500
548,3_20161010_0236,positive,9445,8940,9375,9017
549,3_20161010_0236,positive,9382,8942,9312,9019
550,3_20161010_0236,positive,9295,9082,9225,9159
551,3_20161010_0236,positive,9443,9079,9373,9156
552,3_20161010_0236,positive,8636,9038,8566,9115
553,3_20161010_0236,positive,8585,8904,8515,8981
